StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CANCER_CrudePrev
MO,Independence,2935000,116830,16.6,31.3,6.3,10.2,7.3
MO,Kansas City,2938000,459787,16.5,34.1,6,10.2,5.7
MO,Lee's Summit,2941348,91364,10.5,27.5,6.4,9.1,6.7
MO,O'Fallon,2954074,79329,10.9,28.2,6.5,9,5.9
MO,St. Joseph,2964550,76780,16.6,33.1,6.5,10.1,6.8
MO,St. Louis,2965000,319294,18,35.9,6,11.4,5.5
MO,Springfield,2970000,159498,15.8,31.8,6.5,9.9,6.4
MT,Billings,3006550,104170,12.4,26.9,6.7,9.1,7.3
MT,Missoula,3050200,66788,11.2,24.2,6.6,9.2,5.6
NE,Lincoln,3128000,258379,13,25.9,6.4,8.2,5.7
NE,Omaha,3137000,408958,16.3,30,6,8.5,5.8
NV,Henderson,3231900,257729,12.6,24,6,8.2,6.6
NV,Las Vegas,3240000,583756,19.6,27.1,5.8,8.7,5.8
NV,North Las Vegas,3251800,216961,22,29.1,5.5,9.1,4.5
NV,Reno,3260600,225221,16.5,27.7,6,8.8,5.8
NV,Sparks,3268400,90264,16.7,27.5,6,8.8,5.9
NH,Manchester,3345140,109565,13.3,28.8,6.4,10.9,6.3
NH,Nashua,3350260,86494,12.2,27.4,6.4,10.4,6.5
NJ,Camden,3410000,77344,28.1,41.8,5,11,4
NJ,Clifton,3413690,84136,15,29.1,5.7,8.1,6.2
NJ,Elizabeth,3421000,124969,25.9,34.5,5.2,8.8,4.6
NJ,Jersey City,3436000,247597,15.3,32.5,5.2,8.4,4.3
NJ,Newark,3451000,277140,23.4,38.6,5,10.7,4.2
NJ,Passaic,3456550,69781,31.3,35.9,4.9,9.1,4
NJ,Paterson,3457000,146199,28,38.2,5,9.8,4.3
NJ,Trenton,3474000,84913,25,38.7,5.4,10.7,4.6
NJ,Union City,3474630,66455,28.8,32.5,4.8,8.3,4.3
