StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CSMOKING_AdjPrev,DIABETES_AdjPrev,STROKE_AdjPrev
UT,Layton,4943660,67311,11.9,25.9,6.2,8.6,9.1,8.7,2.5
UT,Ogden,4955980,82825,19.3,30.5,6.1,9.5,13.7,10.9,3.4
UT,Orem,4957300,88328,13.3,25,6.3,8.7,8.5,8.9,2.7
UT,Provo,4962470,112488,14.6,25.8,6.3,8.9,9.1,9.5,2.9
UT,St. George,4965330,72897,13.6,26.5,6.3,8.8,10.3,8.5,2.8
UT,Salt Lake City,4967000,186440,15.2,26,6,8.9,10.6,8.9,2.8
UT,Sandy,4967440,87461,10.1,23.6,6.2,8.6,9.5,6.9,2.2
UT,West Jordan,4982950,103712,13.4,24.9,6,8.9,11,7.9,2.5
UT,West Valley City,4983470,129480,20.6,28.3,5.8,9.5,13.4,10.4,3.3
VA,Alexandria,5101000,139966,11.7,28.8,6,8.1,16.2,7.9,2.9
VA,Chesapeake,5116000,222209,12.6,32.5,6,8.9,12.4,8.2,2.3
VA,Hampton,5135000,137436,14.9,37.7,5.9,9.7,16.9,10.1,2.9
VA,Lynchburg,5147672,75568,14.7,33.9,6.2,9.6,19.6,12.1,3.6
VA,Newport News,5156000,180719,15.3,36,6,9.7,20.5,11.4,3.6
VA,Norfolk,5157000,242803,15.4,35.5,5.8,9.6,19.7,12.1,3.5
VA,Portsmouth,5164000,95535,16.2,37.4,5.9,10.2,20.4,12.1,3.7
VA,Richmond,5167000,204214,16.7,36.8,5.7,10,22.6,12.4,3.8
VA,Roanoke,5168000,97032,16.5,34.1,6.1,9.9,20.5,13.3,4.2
VA,Suffolk,5176432,84585,14,35.7,6,9.5,21.9,11.4,3.7
VA,Virginia Beach,5182000,437994,12,30.3,6.1,8.4,18.9,10.7,3.2
VT,Burlington,5010675,42417,8.4,25.3,6.4,10.6,16.9,9,2.5
WA,Auburn,5303180,70180,12.4,28.6,6.3,10,16,9.3,3.2
WA,Bellevue,5305210,122363,7.2,23.5,6.1,7.9,8.7,6.9,2
WA,Bellingham,5305280,80885,9.9,26.2,6.4,10.1,15.8,8.4,2.9
WA,Everett,5322640,103019,12.4,30.2,6.1,10.1,17.9,9.2,3.1
WA,Federal Way,5323515,89306,12.8,28.5,6.1,9.7,14.5,9.6,3
WA,Kennewick,5335275,73917,14.6,29.8,6.3,10.6,18.2,10.2,3.2
WA,Kent,5335415,92411,13.9,29.2,6.1,9.9,15.5,10,3.2
WA,Renton,5357745,90927,10.9,27.3,6,9.1,12.6,8.9,2.6
WA,Seattle,5363000,608660,8,25.6,6.2,8.9,10.4,7.9,2.4
WA,Spokane,5367000,208916,10.7,29.3,6.6,11,19.7,9.6,3.2
WA,Spokane Valley,5367167,89755,9.9,28.4,6.7,10.7,19,8.9,2.9
WA,Tacoma,5370000,198397,12.1,32.8,6.4,10.5,18,10,3.2
WA,Vancouver,5374060,161791,11,28.5,6.3,10.2,17.5,9.4,3
WA,Yakima,5380010,91067,20.8,29.5,6,10.6,19.2,10.9,3.7
WI,Appleton,5502375,72623,10.4,27,6.4,8.9,22.7,11.8,3.2
WI,Green Bay,5531000,104057,13.7,30.7,6.3,9.5,17.8,8.3,2.6
WI,Kenosha,5539225,99218,14,29.7,6.2,9.5,20.7,9.9,3.2
WI,Madison,5548000,233209,9.4,25.3,6.3,8.6,20.6,9.6,3.1
WI,Milwaukee,5553000,594833,17.8,37.5,5.8,11,14.1,7.7,2.4
WI,Racine,5566000,78860,16.7,33.3,6,10.1,22.2,13.5,4.2
WI,Waukesha,5584250,70718,10.7,27.2,6.3,8.6,21.3,11.2,3.6
WV,Charleston,5414600,51400,9.3,35.8,6.3,10.9,16.9,8.1,2.5
WY,Cheyenne,5613900,59466,15.3,28.5,6.2,8.6,19.9,8.2,2.6
